Team,Contitent,Span,Started,Format,Mat,Won,Lost,Tied,Tie+W,Tie+L,NR,%
Sierra Leone,Africa,2021-2022,2021,T20I,17,7,10,0,0,0,0,41.17
Singapore,Asia,2019-2022,2019,T20I,35,11,23,0,0,1,0,32.85
Slovenia,Europe,2022-2022,2022,T20I,4,0,4,0,0,0,0,0
South Africa,Africa,2005-2023,2005,T20I,168,95,69,0,1,0,3,57.87
South Korea,Asia,2022-2022,2022,T20I,4,0,4,0,0,0,0,0
Spain,Europe,2019-2023,2019,T20I,33,24,8,0,0,0,1,75
Sri Lanka,Asia,2006-2023,2006,T20I,177,79,92,0,2,2,2,46.28
St Helena,British Overseas,2022-2022,2022,T20I,7,2,3,0,0,0,2,40
Sweden,Europe,2021-2022,2021,T20I,16,6,10,0,0,0,0,37.5
Switzerland,Europe,2021-2022,2021,T20I,11,6,5,0,0,0,0,54.54
Tanzania,Africa,2021-2022,2021,T20I,39,28,8,0,0,0,3,77.77
Thailand,Asia,2019-2022,2019,T20I,14,1,13,0,0,0,0,7.14
Turkey,Asia,2019-2022,2019,T20I,8,0,8,0,0,0,0,0
Uganda,Africa,2019-2022,2019,T20I,54,37,14,0,0,0,3,72.54
United Arab Emirates,Asia,2014-2023,2014,T20I,72,35,36,0,0,0,1,49.29
United States of America,North America,2019-2022,2019,T20I,21,10,9,0,1,0,1,52.5
Vanuatu,Oceania,2019-2023,2019,T20I,23,13,10,0,0,0,0,56.52
West Indies,North America,2006-2023,2006,T20I,179,73,93,0,2,1,10,44.08
Zimbabwe,Africa,2006-2023,2006,T20I,123,38,82,0,2,0,1,31.96
Afghanistan,Asia,2009-2022,2009,ODI,141,70,66,1,,,4,51.45
Australia,Oceania,1971-2023,1971,ODI,978,594,341,9,,,34,63.4
Bangladesh,Asia,1986-2023,1986,ODI,409,149,252,0,,,8,37.15
Bermuda,North America,2006-2009,2006,ODI,35,7,28,0,,,0,20
Canada,North America,1979-2023,1979,ODI,80,19,59,0,,,2,24.35
